Layer,Sparsity,Compression Ratio,Compressed Size,Actual Size
Conv Layer 1,0.6607944214876033,2.7532460144772957,5625360,15488000
Conv Layer 2,0.7517504000914494,3.192212868927422,3507736,11197440
Conv Layer 3,0.8176297460552269,3.5693620953281924,1454512,5191680
Conv Layer 4,0.7890948594674556,3.236312769761301,1069464,3461120
Conv Layer 5,0.8700929178994082,4.139026280291216,836216,3461120
